"Status","Name","Duration in ms","Description"
"passed","core.PrimeNumberCheckerTest.test","1",""
"passed","core.PrimeNumberCheckerTest.test","2",""
"passed","core.PrimeNumberCheckerTest.test","5",""
"passed","core.PrimeNumberCheckerTest.test","2",""
"passed","core.PrimeNumberCheckerTest.test","3",""
"passed","core.PrimeNumberCheckerTest.test","47",""
"passed","core.PrimeNumberCheckerTest.test","2",""
"passed","core.PrimeNumberCheckerTest.test","3",""
"passed","core.PrimeNumberCheckerTest.test","2",""
"passed","core.PrimeNumberCheckerTest.test","4",""
